公司,年月,股東權益總額,當季季底P/E,季底普通股市值,TEJ主產業代碼
2453 凌群,2020/12/31,"1,894,704",8.8,"1,810,000",23X
2454 聯發科,2020/12/31,"375,084,451",25.18,"1,187,817,399",23G
2455 全新,2020/12/31,"2,901,719",31.99,"20,709,360",23G
2456 奇力新,2020/12/31,"25,599,669",17.95,"29,492,848",23D
2457 飛宏,2020/12/31,"4,744,881",,"5,504,314",23D
2458 義隆,2020/12/31,"9,273,056",9.68,"40,567,980",23G
2459 敦吉,2020/12/31,"4,859,804",7.23,"4,852,090",23T
2460 建通,2020/12/31,"2,152,906",,"2,961,000",23D
2461 光群雷,2020/12/31,"3,965,924",14.1,"3,106,818",13A
2462 良得電,2020/12/31,"2,597,295",69.07,"4,485,114",23D
2464 盟立,2020/12/31,"4,109,162",14.9,"8,603,364",23H
2465 麗臺,2020/12/31,"316,812",22.16,"1,176,235",23B
2466 冠西電,2020/12/31,"1,640,392",956.61,"5,112,122",23C
2467 志聖,2020/12/31,"2,682,492",9.28,"5,453,443",23H
2468 華經,2020/12/31,"1,138,068",20.23,"965,462",23X
2471 資通,2020/12/31,"771,770",11.35,"1,290,007",23X
2472 立隆電,2020/12/31,"7,403,640",7.98,"9,778,179",23D
2474 可成,2020/12/31,"158,071,602",10.55,"156,893,308",23D
2476 鉅祥,2020/12/31,"5,328,057",6.78,"3,828,838",23D
2477 美隆電,2020/12/31,"3,347,399",42.58,"6,937,560",23U
2478 大毅,2020/12/31,"5,873,989",17.44,"12,447,812",23D
2480 敦陽科,2020/12/31,"2,829,012",11.83,"7,072,940",23X
2481 強茂,2020/12/31,"7,246,732",16.75,"18,005,237",23D
2482 連宇,2020/12/31,"729,516",,"695,206",23C
2483 百容,2020/12/31,"2,381,380",103.3,"2,203,679",23D
2484 希華,2020/12/31,"3,139,580",18.66,"3,850,017",23D
2485 兆赫,2020/12/31,"6,465,638",,"6,274,358",23K
2486 一詮,2020/12/31,"2,902,582",,"3,917,985",23D
2488 漢平,2020/12/31,"2,083,808",13.18,"2,491,969",23U
2489 瑞軒,2020/12/31,"12,536,616",13.66,"10,117,025",23C
2491 吉祥全,2020/12/31,"1,997,140",5.4,"820,080",15C
2492 華新科,2020/12/31,"45,654,194",12.77,"111,977,822",23D
2493 揚博,2020/12/31,"2,354,005",9.88,"3,879,414",23H
2495 普安,2020/12/31,"3,964,347",47.7,"3,515,130",23C
2496 卓越,2020/12/31,"811,447",14.37,"1,074,360",99Z
2497 怡利電,2020/12/31,"1,339,373",,"3,872,815",15D
